source_dataset,file_id,raw_mask_path,standardized_mask_path,raw_mask_unique_values,standardized_mask_unique_values,standardization_status
G1020,image_1137,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1137.png,data/processed/standardized_masks/g1020/image_1137.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1138,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1138.png,data/processed/standardized_masks/g1020/image_1138.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1139,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1139.png,data/processed/standardized_masks/g1020/image_1139.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_114,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_114.png,data/processed/standardized_masks/g1020/image_114.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1140,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1140.png,data/processed/standardized_masks/g1020/image_1140.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1141,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1141.png,data/processed/standardized_masks/g1020/image_1141.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1142,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1142.png,data/processed/standardized_masks/g1020/image_1142.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1143,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1143.png,data/processed/standardized_masks/g1020/image_1143.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1144,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1144.png,data/processed/standardized_masks/g1020/image_1144.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_115,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_115.png,data/processed/standardized_masks/g1020/image_115.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1160,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1160.png,data/processed/standardized_masks/g1020/image_1160.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1161,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1161.png,data/processed/standardized_masks/g1020/image_1161.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1164,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1164.png,data/processed/standardized_masks/g1020/image_1164.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1165,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1165.png,data/processed/standardized_masks/g1020/image_1165.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1187,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1187.png,data/processed/standardized_masks/g1020/image_1187.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1188,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1188.png,data/processed/standardized_masks/g1020/image_1188.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1189,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1189.png,data/processed/standardized_masks/g1020/image_1189.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1190,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1190.png,data/processed/standardized_masks/g1020/image_1190.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1197,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1197.png,data/processed/standardized_masks/g1020/image_1197.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1198,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1198.png,data/processed/standardized_masks/g1020/image_1198.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1199,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1199.png,data/processed/standardized_masks/g1020/image_1199.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_12,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_12.png,data/processed/standardized_masks/g1020/image_12.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_120,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_120.png,data/processed/standardized_masks/g1020/image_120.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1201,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1201.png,data/processed/standardized_masks/g1020/image_1201.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1202,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1202.png,data/processed/standardized_masks/g1020/image_1202.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1203,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1203.png,data/processed/standardized_masks/g1020/image_1203.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1204,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1204.png,data/processed/standardized_masks/g1020/image_1204.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_121,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_121.png,data/processed/standardized_masks/g1020/image_121.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1213,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1213.png,data/processed/standardized_masks/g1020/image_1213.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1214,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1214.png,data/processed/standardized_masks/g1020/image_1214.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1215,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1215.png,data/processed/standardized_masks/g1020/image_1215.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1216,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1216.png,data/processed/standardized_masks/g1020/image_1216.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1217,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1217.png,data/processed/standardized_masks/g1020/image_1217.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1218,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1218.png,data/processed/standardized_masks/g1020/image_1218.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_122,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_122.png,data/processed/standardized_masks/g1020/image_122.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1225,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1225.png,data/processed/standardized_masks/g1020/image_1225.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1226,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1226.png,data/processed/standardized_masks/g1020/image_1226.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1227,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1227.png,data/processed/standardized_masks/g1020/image_1227.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_123,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_123.png,data/processed/standardized_masks/g1020/image_123.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1230,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1230.png,data/processed/standardized_masks/g1020/image_1230.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1231,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1231.png,data/processed/standardized_masks/g1020/image_1231.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1232,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1232.png,data/processed/standardized_masks/g1020/image_1232.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1233,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1233.png,data/processed/standardized_masks/g1020/image_1233.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1234,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1234.png,data/processed/standardized_masks/g1020/image_1234.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1238,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1238.png,data/processed/standardized_masks/g1020/image_1238.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_124,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_124.png,data/processed/standardized_masks/g1020/image_124.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1240,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1240.png,data/processed/standardized_masks/g1020/image_1240.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1241,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1241.png,data/processed/standardized_masks/g1020/image_1241.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1242,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1242.png,data/processed/standardized_masks/g1020/image_1242.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1243,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1243.png,data/processed/standardized_masks/g1020/image_1243.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1246,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1246.png,data/processed/standardized_masks/g1020/image_1246.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1247,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1247.png,data/processed/standardized_masks/g1020/image_1247.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1248,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1248.png,data/processed/standardized_masks/g1020/image_1248.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_125,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_125.png,data/processed/standardized_masks/g1020/image_125.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1250,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1250.png,data/processed/standardized_masks/g1020/image_1250.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1254,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1254.png,data/processed/standardized_masks/g1020/image_1254.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1255,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1255.png,data/processed/standardized_masks/g1020/image_1255.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_126,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_126.png,data/processed/standardized_masks/g1020/image_126.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1260,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1260.png,data/processed/standardized_masks/g1020/image_1260.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1261,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1261.png,data/processed/standardized_masks/g1020/image_1261.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1270,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1270.png,data/processed/standardized_masks/g1020/image_1270.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1271,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1271.png,data/processed/standardized_masks/g1020/image_1271.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1285,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1285.png,data/processed/standardized_masks/g1020/image_1285.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_13,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_13.png,data/processed/standardized_masks/g1020/image_13.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1303,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1303.png,data/processed/standardized_masks/g1020/image_1303.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1304,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1304.png,data/processed/standardized_masks/g1020/image_1304.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1317,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1317.png,data/processed/standardized_masks/g1020/image_1317.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1318,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1318.png,data/processed/standardized_masks/g1020/image_1318.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1319,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1319.png,data/processed/standardized_masks/g1020/image_1319.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1321,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1321.png,data/processed/standardized_masks/g1020/image_1321.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1322,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1322.png,data/processed/standardized_masks/g1020/image_1322.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1325,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1325.png,data/processed/standardized_masks/g1020/image_1325.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1326,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1326.png,data/processed/standardized_masks/g1020/image_1326.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1327,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1327.png,data/processed/standardized_masks/g1020/image_1327.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1328,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1328.png,data/processed/standardized_masks/g1020/image_1328.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1329,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1329.png,data/processed/standardized_masks/g1020/image_1329.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1330,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1330.png,data/processed/standardized_masks/g1020/image_1330.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1331,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1331.png,data/processed/standardized_masks/g1020/image_1331.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1332,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1332.png,data/processed/standardized_masks/g1020/image_1332.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1333,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1333.png,data/processed/standardized_masks/g1020/image_1333.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1334,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1334.png,data/processed/standardized_masks/g1020/image_1334.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1335,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1335.png,data/processed/standardized_masks/g1020/image_1335.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1336,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1336.png,data/processed/standardized_masks/g1020/image_1336.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1337,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1337.png,data/processed/standardized_masks/g1020/image_1337.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1338,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1338.png,data/processed/standardized_masks/g1020/image_1338.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1339,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1339.png,data/processed/standardized_masks/g1020/image_1339.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1344,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1344.png,data/processed/standardized_masks/g1020/image_1344.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1348,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1348.png,data/processed/standardized_masks/g1020/image_1348.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1349,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1349.png,data/processed/standardized_masks/g1020/image_1349.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1350,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1350.png,data/processed/standardized_masks/g1020/image_1350.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1351,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1351.png,data/processed/standardized_masks/g1020/image_1351.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1352,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1352.png,data/processed/standardized_masks/g1020/image_1352.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1355,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1355.png,data/processed/standardized_masks/g1020/image_1355.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1356,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1356.png,data/processed/standardized_masks/g1020/image_1356.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1359,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1359.png,data/processed/standardized_masks/g1020/image_1359.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1360,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1360.png,data/processed/standardized_masks/g1020/image_1360.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1361,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1361.png,data/processed/standardized_masks/g1020/image_1361.png,"[0, 1]","[0, 1]",already_0_1_2
G1020,image_1362,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1362.png,data/processed/standardized_masks/g1020/image_1362.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1366,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1366.png,data/processed/standardized_masks/g1020/image_1366.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
G1020,image_1367,data/external/kaggle/glaucoma_fundus_imaging_bundle/G1020/Masks/image_1367.png,data/processed/standardized_masks/g1020/image_1367.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
