relative_path,file_name,extension,size_mb,artifact_type,modified_time
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET005OD_disc_exp2.txt,RET005OD_disc_exp2.txt,.txt,0.001196,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET006OD_disc_exp2.txt,RET006OD_disc_exp2.txt,.txt,0.001196,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET013OD_disc_exp2.txt,RET013OD_disc_exp2.txt,.txt,0.001196,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET010OS_cup_exp2.txt,RET010OS_cup_exp2.txt,.txt,0.001164,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET147OD_disc_exp1.txt,RET147OD_disc_exp1.txt,.txt,0.001164,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET007OS_disc_exp2.txt,RET007OS_disc_exp2.txt,.txt,0.001133,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET009OD_disc_exp2.txt,RET009OD_disc_exp2.txt,.txt,0.001101,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET010OS_disc_exp2.txt,RET010OS_disc_exp2.txt,.txt,0.001101,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET014OD_cup_exp2.txt,RET014OD_cup_exp2.txt,.txt,0.001101,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET129OD_disc_exp1.txt,RET129OD_disc_exp1.txt,.txt,0.001101,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET189OS_disc_exp1.txt,RET189OS_disc_exp1.txt,.txt,0.001101,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET023OD_disc_exp2.txt,RET023OD_disc_exp2.txt,.txt,0.00107,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET035OS_disc_exp2.txt,RET035OS_disc_exp2.txt,.txt,0.00107,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET190OS_disc_exp1.txt,RET190OS_disc_exp1.txt,.txt,0.00107,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET004OS_disc_exp2.txt,RET004OS_disc_exp2.txt,.txt,0.001039,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET030OD_disc_exp2.txt,RET030OD_disc_exp2.txt,.txt,0.001039,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET038OS_disc_exp2.txt,RET038OS_disc_exp2.txt,.txt,0.001039,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET006OD_cup_exp2.txt,RET006OD_cup_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET007OD_disc_exp2.txt,RET007OD_disc_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET010OD_disc_exp2.txt,RET010OD_disc_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET015OS_disc_exp2.txt,RET015OS_disc_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET023OD_cup_exp2.txt,RET023OD_cup_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET028OD_disc_exp2.txt,RET028OD_disc_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET038OD_disc_exp2.txt,RET038OD_disc_exp2.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET152OD_disc_exp1.txt,RET152OD_disc_exp1.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET183OD_disc_exp1.txt,RET183OD_disc_exp1.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET184OD_disc_exp1.txt,RET184OD_disc_exp1.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET188OD_disc_exp1.txt,RET188OD_disc_exp1.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET202OD_disc_exp1.txt,RET202OD_disc_exp1.txt,.txt,0.001007,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET013OD_cup_exp2.txt,RET013OD_cup_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET013OS_disc_exp2.txt,RET013OS_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET015OD_disc_exp2.txt,RET015OD_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET018OD_disc_exp2.txt,RET018OD_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET023OS_disc_exp2.txt,RET023OS_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET025OS_disc_exp2.txt,RET025OS_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET027OS_disc_exp2.txt,RET027OS_disc_exp2.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET129OS_disc_exp1.txt,RET129OS_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET149OD_disc_exp1.txt,RET149OD_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET186OD_disc_exp1.txt,RET186OD_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET187OD_disc_exp1.txt,RET187OD_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET192OD_disc_exp1.txt,RET192OD_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET205OS_disc_exp1.txt,RET205OS_disc_exp1.txt,.txt,0.000976,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET009OS_disc_exp2.txt,RET009OS_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET016OD_disc_exp2.txt,RET016OD_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET018OS_disc_exp2.txt,RET018OS_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET030OS_disc_exp2.txt,RET030OS_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET037OS_disc_exp2.txt,RET037OS_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET045OD_disc_exp2.txt,RET045OD_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET056OD_disc_exp2.txt,RET056OD_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET068OD_disc_exp2.txt,RET068OD_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET074OS_disc_exp2.txt,RET074OS_disc_exp2.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET126OD_disc_exp1.txt,RET126OD_disc_exp1.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET191OD_disc_exp1.txt,RET191OD_disc_exp1.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET191OS_disc_exp1.txt,RET191OS_disc_exp1.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET197OS_disc_exp1.txt,RET197OS_disc_exp1.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET206OS_disc_exp1.txt,RET206OS_disc_exp1.txt,.txt,0.000944,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET004OS_cup_exp2.txt,RET004OS_cup_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET014OD_disc_exp1.txt,RET014OD_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET014OD_disc_exp2.txt,RET014OD_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET026OS_disc_exp2.txt,RET026OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET029OD_disc_exp2.txt,RET029OD_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET031OS_disc_exp2.txt,RET031OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET032OS_disc_exp2.txt,RET032OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET035OD_disc_exp2.txt,RET035OD_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET036OS_disc_exp2.txt,RET036OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET041OD_disc_exp2.txt,RET041OD_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET041OS_disc_exp2.txt,RET041OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET044OS_disc_exp2.txt,RET044OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:09
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET050OD_disc_exp2.txt,RET050OD_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET077OS_disc_exp2.txt,RET077OS_disc_exp2.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET133OS_disc_exp1.txt,RET133OS_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:10
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET151OS_disc_exp1.txt,RET151OS_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET182OS_disc_exp1.txt,RET182OS_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET193OD_disc_exp1.txt,RET193OD_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET202OS_disc_exp1.txt,RET202OS_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:11
extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/Contours/RET207OD_disc_exp1.txt,RET207OD_disc_exp1.txt,.txt,0.000913,metadata_or_annotation,2026-06-04T11:13:11
