source_dataset,official_split,file_id,raw_mask_path,standardized_mask_path,raw_mask_unique_values,standardized_mask_unique_values,standardization_status
REFUGE,train,g0028,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0028.png,data/processed/standardized_masks/refuge/train_g0028.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0029,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0029.png,data/processed/standardized_masks/refuge/train_g0029.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0030,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0030.png,data/processed/standardized_masks/refuge/train_g0030.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0031,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0031.png,data/processed/standardized_masks/refuge/train_g0031.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0032,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0032.png,data/processed/standardized_masks/refuge/train_g0032.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0033,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0033.png,data/processed/standardized_masks/refuge/train_g0033.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0034,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0034.png,data/processed/standardized_masks/refuge/train_g0034.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0035,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0035.png,data/processed/standardized_masks/refuge/train_g0035.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0036,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0036.png,data/processed/standardized_masks/refuge/train_g0036.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0037,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0037.png,data/processed/standardized_masks/refuge/train_g0037.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0038,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0038.png,data/processed/standardized_masks/refuge/train_g0038.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0039,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0039.png,data/processed/standardized_masks/refuge/train_g0039.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,g0040,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/g0040.png,data/processed/standardized_masks/refuge/train_g0040.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0001,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0001.png,data/processed/standardized_masks/refuge/train_n0001.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0002,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0002.png,data/processed/standardized_masks/refuge/train_n0002.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0003,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0003.png,data/processed/standardized_masks/refuge/train_n0003.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0004,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0004.png,data/processed/standardized_masks/refuge/train_n0004.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0005,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0005.png,data/processed/standardized_masks/refuge/train_n0005.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0006,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0006.png,data/processed/standardized_masks/refuge/train_n0006.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0007,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0007.png,data/processed/standardized_masks/refuge/train_n0007.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0008,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0008.png,data/processed/standardized_masks/refuge/train_n0008.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0009,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0009.png,data/processed/standardized_masks/refuge/train_n0009.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0010,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0010.png,data/processed/standardized_masks/refuge/train_n0010.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0011,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0011.png,data/processed/standardized_masks/refuge/train_n0011.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0012,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0012.png,data/processed/standardized_masks/refuge/train_n0012.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0013,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0013.png,data/processed/standardized_masks/refuge/train_n0013.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0014,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0014.png,data/processed/standardized_masks/refuge/train_n0014.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0015,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0015.png,data/processed/standardized_masks/refuge/train_n0015.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0016,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0016.png,data/processed/standardized_masks/refuge/train_n0016.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0017,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0017.png,data/processed/standardized_masks/refuge/train_n0017.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0018,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0018.png,data/processed/standardized_masks/refuge/train_n0018.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0019,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0019.png,data/processed/standardized_masks/refuge/train_n0019.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0020,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0020.png,data/processed/standardized_masks/refuge/train_n0020.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0021,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0021.png,data/processed/standardized_masks/refuge/train_n0021.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0022,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0022.png,data/processed/standardized_masks/refuge/train_n0022.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0023,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0023.png,data/processed/standardized_masks/refuge/train_n0023.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0024,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0024.png,data/processed/standardized_masks/refuge/train_n0024.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0025,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0025.png,data/processed/standardized_masks/refuge/train_n0025.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0026,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0026.png,data/processed/standardized_masks/refuge/train_n0026.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0027,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0027.png,data/processed/standardized_masks/refuge/train_n0027.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0028,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0028.png,data/processed/standardized_masks/refuge/train_n0028.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0029,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0029.png,data/processed/standardized_masks/refuge/train_n0029.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0030,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0030.png,data/processed/standardized_masks/refuge/train_n0030.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0031,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0031.png,data/processed/standardized_masks/refuge/train_n0031.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0032,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0032.png,data/processed/standardized_masks/refuge/train_n0032.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0033,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0033.png,data/processed/standardized_masks/refuge/train_n0033.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0034,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0034.png,data/processed/standardized_masks/refuge/train_n0034.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0035,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0035.png,data/processed/standardized_masks/refuge/train_n0035.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0036,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0036.png,data/processed/standardized_masks/refuge/train_n0036.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0037,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0037.png,data/processed/standardized_masks/refuge/train_n0037.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0038,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0038.png,data/processed/standardized_masks/refuge/train_n0038.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0039,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0039.png,data/processed/standardized_masks/refuge/train_n0039.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0040,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0040.png,data/processed/standardized_masks/refuge/train_n0040.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0041,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0041.png,data/processed/standardized_masks/refuge/train_n0041.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0042,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0042.png,data/processed/standardized_masks/refuge/train_n0042.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0043,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0043.png,data/processed/standardized_masks/refuge/train_n0043.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0044,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0044.png,data/processed/standardized_masks/refuge/train_n0044.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0045,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0045.png,data/processed/standardized_masks/refuge/train_n0045.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0046,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0046.png,data/processed/standardized_masks/refuge/train_n0046.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0047,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0047.png,data/processed/standardized_masks/refuge/train_n0047.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0048,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0048.png,data/processed/standardized_masks/refuge/train_n0048.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0049,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0049.png,data/processed/standardized_masks/refuge/train_n0049.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0050,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0050.png,data/processed/standardized_masks/refuge/train_n0050.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0051,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0051.png,data/processed/standardized_masks/refuge/train_n0051.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0052,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0052.png,data/processed/standardized_masks/refuge/train_n0052.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0053,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0053.png,data/processed/standardized_masks/refuge/train_n0053.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0054,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0054.png,data/processed/standardized_masks/refuge/train_n0054.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0055,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0055.png,data/processed/standardized_masks/refuge/train_n0055.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0056,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0056.png,data/processed/standardized_masks/refuge/train_n0056.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0057,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0057.png,data/processed/standardized_masks/refuge/train_n0057.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0058,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0058.png,data/processed/standardized_masks/refuge/train_n0058.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0059,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0059.png,data/processed/standardized_masks/refuge/train_n0059.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0060,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0060.png,data/processed/standardized_masks/refuge/train_n0060.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0061,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0061.png,data/processed/standardized_masks/refuge/train_n0061.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0062,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0062.png,data/processed/standardized_masks/refuge/train_n0062.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0063,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0063.png,data/processed/standardized_masks/refuge/train_n0063.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0064,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0064.png,data/processed/standardized_masks/refuge/train_n0064.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0065,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0065.png,data/processed/standardized_masks/refuge/train_n0065.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0066,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0066.png,data/processed/standardized_masks/refuge/train_n0066.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0067,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0067.png,data/processed/standardized_masks/refuge/train_n0067.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0068,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0068.png,data/processed/standardized_masks/refuge/train_n0068.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0069,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0069.png,data/processed/standardized_masks/refuge/train_n0069.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0070,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0070.png,data/processed/standardized_masks/refuge/train_n0070.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0071,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0071.png,data/processed/standardized_masks/refuge/train_n0071.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0072,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0072.png,data/processed/standardized_masks/refuge/train_n0072.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0073,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0073.png,data/processed/standardized_masks/refuge/train_n0073.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0074,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0074.png,data/processed/standardized_masks/refuge/train_n0074.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0075,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0075.png,data/processed/standardized_masks/refuge/train_n0075.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0076,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0076.png,data/processed/standardized_masks/refuge/train_n0076.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0077,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0077.png,data/processed/standardized_masks/refuge/train_n0077.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0078,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0078.png,data/processed/standardized_masks/refuge/train_n0078.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0079,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0079.png,data/processed/standardized_masks/refuge/train_n0079.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0080,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0080.png,data/processed/standardized_masks/refuge/train_n0080.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0081,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0081.png,data/processed/standardized_masks/refuge/train_n0081.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0082,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0082.png,data/processed/standardized_masks/refuge/train_n0082.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0083,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0083.png,data/processed/standardized_masks/refuge/train_n0083.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0084,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0084.png,data/processed/standardized_masks/refuge/train_n0084.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0085,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0085.png,data/processed/standardized_masks/refuge/train_n0085.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
REFUGE,train,n0086,data/external/kaggle/glaucoma_fundus_imaging_bundle/REFUGE/train/Masks/n0086.png,data/processed/standardized_masks/refuge/train_n0086.png,"[0, 1, 2]","[0, 1, 2]",already_0_1_2
